0;$;comma;rparenthesis;lparenthesis;rsbrackets;lsbrackets;stringliteral;boolliteral;floatliteral;intliteral;not;minus;plus;divide;multiply;greaterequal;greater;lessequal;less;different;same;and;or;equal;semicolon;return;continue;break;while;for;else;if;rbrackets;lbrackets;id;float;int;boolean;void
PROGRAM;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TYPE IDENTIFIER DECL PROGRAM;TYPE IDENTIFIER DECL PROGRAM;TYPE IDENTIFIER DECL PROGRAM;TYPE IDENTIFIER DECL PROGRAM
DECL;0;DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon;0;PARALIST COMPOUNDSTMT;0;DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon;DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INITDECLARATORLIST;0;comma IDENTIFIER DECLARATOR INITDECLARATOR INITDECLARATORLIST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INITDECLARATOR;0;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;equal INITIALISER;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DECLARATOR;0;ε;ε;0;0;lsbrackets INTLITERAL rsbrackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ε;ε;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INTLITERAL;0;0;0;0;ε;0;0;0;0;intliteral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INITIALISER;0;0;0;EXPR;0;0;EXPR;EXPR;EXPR;EXPR;EXPR;EXPR;EXPR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lbrackets EXPR SUBINITIALISER rbrackets;EXPR;0;0;0;0
SUBINITIALISER;0;comma EXPR SUBINITIALISER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ε;0;0;0;0;0;0
TYPE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;float;int;boolean;void
IDENTIFIER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;id;0;0;0;0
COMPOUNDSTMT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lbrackets VARDECL STMTLIST rbrackets;0;0;0;0;0
VARDECL;0;0;0;ε;0;0;ε;ε;ε;ε;ε;ε;ε;0;0;0;0;0;0;0;0;0;0;0;ε;ε;ε;ε;ε;ε;0;ε;ε;ε;ε;TYPE IDENTIFIER DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon VARDECL;TYPE IDENTIFIER DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon VARDECL;TYPE IDENTIFIER DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon VARDECL;TYPE IDENTIFIER DECLARATOR INITDECLARATOR INITDECLARATORLIST semicolon VARDECL
STMTLIST;0;0;0;STMT STMTLIST;0;0;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;0;0;0;0;0;0;0;0;0;0;0;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;STMT STMTLIST;0;STMT STMTLIST;ε;STMT STMTLIST;STMT STMTLIST;0;0;0;0
STMT;0;0;0;EXPRSTMT;0;0;EXPRSTMT;EXPRSTMT;EXPRSTMT;EXPRSTMT;EXPRSTMT;EXPRSTMT;EXPRSTMT;0;0;0;0;0;0;0;0;0;0;0;EXPRSTMT;RETURNSTMT;CONTINUESTMT;BREAKSTMT;WHILESTMT;FORSTMT;0;IFSTMT;0;COMPOUNDSTMT;EXPRSTMT;0;0;0;0
IFSTMT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;if lparenthesis EXPR rparenthesis ELSESTMT STMT;0;0;0;0;0;0;0
ELSESTMT;0;0;0;ε;0;0;ε;ε;ε;ε;ε;ε;ε;0;0;0;0;0;0;0;0;0;0;0;ε;ε;ε;ε;ε;ε;else STMT;ε;0;ε;ε;0;0;0;0
